Time,RR interval,HRV,Heart Rate
300.506,0.702,702.0,85.47008547008548
301.198,0.692,692.0,86.70520231213874
301.897,0.699,699.0,85.83690987124464
302.59,0.693,693.0,86.58008658008659
303.275,0.685,685.0,87.5912408759124
303.957,0.682,682.0,87.97653958944281
304.64,0.683,683.0,87.84773060029282
305.328,0.688,688.0,87.2093023255814
306.003,0.675,675.0,88.88888888888889
306.67,0.667,667.0,89.95502248875562
307.338,0.668,668.0,89.82035928143712
307.99,0.652,652.0,92.0245398773006
308.641,0.651,651.0,92.16589861751152
309.283,0.642,642.0,93.45794392523364
309.927,0.644,644.0,93.16770186335404
310.575,0.648,648.0,92.5925925925926
311.223,0.648,648.0,92.5925925925926
311.876,0.653,653.0,91.88361408882082
312.516,0.64,640.0,93.75
313.148,0.632,632.0,94.9367088607595
313.771,0.623,623.0,96.30818619582664
314.399,0.628,628.0,95.54140127388536
315.021,0.622,622.0,96.46302250803858
315.642,0.621,621.0,96.61835748792272
316.277,0.635,635.0,94.48818897637794
316.933,0.656,656.0,91.46341463414636
317.585,0.652,652.0,92.0245398773006
318.238,0.653,653.0,91.88361408882082
318.871,0.633,633.0,94.7867298578199
319.496,0.625,625.0,96.0
320.13,0.634,634.0,94.6372239747634
320.81,0.68,680.0,88.23529411764706
321.506,0.696,696.0,86.20689655172414
322.19,0.684,684.0,87.71929824561403
322.852,0.662,662.0,90.63444108761328
323.498,0.646,646.0,92.87925696594426
324.137,0.639,639.0,93.89671361502349
324.78,0.643,643.0,93.31259720062208
325.444,0.664,664.0,90.36144578313252
326.111,0.667,667.0,89.95502248875562
326.771,0.66,660.0,90.9090909090909
327.424,0.653,653.0,91.88361408882082
328.065,0.641,641.0,93.603744149766
328.704,0.639,639.0,93.89671361502349
329.337,0.633,633.0,94.7867298578199
329.975,0.638,638.0,94.04388714733544
330.638,0.663,663.0,90.49773755656108
331.343,0.705,705.0,85.1063829787234
332.078,0.735,735.0,81.63265306122449
332.818,0.74,740.0,81.08108108108108
333.541,0.723,723.0,82.98755186721992
334.272,0.731,731.0,82.07934336525308
335.019,0.747,747.0,80.32128514056225
335.748,0.729,729.0,82.3045267489712
336.41,0.662,662.0,90.63444108761328
337.04,0.63,630.0,95.23809523809524
337.666,0.626,626.0,95.84664536741217
338.32,0.654,654.0,91.74311926605505
339.066,0.746,746.0,80.4289544235925
339.837,0.771,771.0,77.82101167315176
340.622,0.785,785.0,76.43312101910827
341.423,0.801,801.0,74.9063670411985
342.234,0.811,811.0,73.98273736128236
343.043,0.809,809.0,74.1656365883807
343.828,0.785,785.0,76.43312101910827
344.591,0.763,763.0,78.63695937090432
345.355,0.764,764.0,78.53403141361257
346.129,0.774,774.0,77.51937984496124
346.856,0.727,727.0,82.53094910591473
347.562,0.706,706.0,84.985835694051
348.288,0.726,726.0,82.64462809917356
349.017,0.729,729.0,82.3045267489712
349.766,0.749,749.0,80.1068090787717
350.548,0.782,782.0,76.72634271099744
351.351,0.803,803.0,74.719800747198
352.129,0.778,778.0,77.12082262210797
352.861,0.732,732.0,81.9672131147541
353.58,0.719,719.0,83.44923504867873
354.318,0.738,738.0,81.30081300813008
355.061,0.743,743.0,80.75370121130551
355.785,0.724,724.0,82.87292817679558
356.506,0.721,721.0,83.21775312066575
357.243,0.737,737.0,81.4111261872456
358.013,0.77,770.0,77.92207792207792
358.805,0.792,792.0,75.75757575757575
359.581,0.776,776.0,77.31958762886597
360.348,0.767,767.0,78.22685788787484
361.116,0.768,768.0,78.125
361.89,0.774,774.0,77.51937984496124
362.661,0.771,771.0,77.82101167315176
363.393,0.732,732.0,81.9672131147541
364.108,0.715,715.0,83.91608391608392
364.791,0.683,683.0,87.84773060029282
365.445,0.654,654.0,91.74311926605505
366.131,0.686,686.0,87.46355685131195
366.875,0.744,744.0,80.64516129032258
367.612,0.737,737.0,81.4111261872456
368.324,0.712,712.0,84.26966292134833
369.012,0.688,688.0,87.2093023255814
369.689,0.677,677.0,88.62629246676514
370.376,0.687,687.0,87.33624454148472
371.051,0.675,675.0,88.88888888888889
371.737,0.686,686.0,87.46355685131195
372.404,0.667,667.0,89.95502248875562
373.052,0.648,648.0,92.5925925925926
373.709,0.657,657.0,91.324200913242
374.362,0.653,653.0,91.88361408882082
374.989,0.627,627.0,95.69377990430624
375.628,0.639,639.0,93.89671361502349
376.306,0.678,678.0,88.49557522123894
377.039,0.733,733.0,81.85538881309687
377.791,0.752,752.0,79.7872340425532
378.527,0.736,736.0,81.52173913043478
379.233,0.706,706.0,84.985835694051
379.955,0.722,722.0,83.10249307479225
380.704,0.749,749.0,80.1068090787717
381.487,0.783,783.0,76.62835249042146
382.27,0.783,783.0,76.62835249042146
383.033,0.763,763.0,78.63695937090432
383.802,0.769,769.0,78.02340702210662
384.565,0.763,763.0,78.63695937090432
385.287,0.722,722.0,83.10249307479225
386.005,0.718,718.0,83.56545961002786
386.749,0.744,744.0,80.64516129032258
387.533,0.784,784.0,76.53061224489795
388.314,0.781,781.0,76.82458386683739
389.127,0.813,813.0,73.80073800738008
389.958,0.831,831.0,72.20216606498195
390.773,0.815,815.0,73.61963190184049
391.546,0.773,773.0,77.61966364812419
392.314,0.768,768.0,78.125
393.103,0.789,789.0,76.04562737642584
393.926,0.823,823.0,72.90400972053463
394.748,0.822,822.0,72.99270072992701
395.537,0.789,789.0,76.04562737642584
396.305,0.768,768.0,78.125
397.079,0.774,774.0,77.51937984496124
397.862,0.783,783.0,76.62835249042146
398.661,0.799,799.0,75.09386733416771
399.471,0.81,810.0,74.07407407407408
400.292,0.821,821.0,73.0816077953715
401.083,0.791,791.0,75.85335018963337
401.838,0.755,755.0,79.47019867549669
402.596,0.758,758.0,79.15567282321899
403.368,0.772,772.0,77.720207253886
404.167,0.799,799.0,75.09386733416771
404.98,0.813,813.0,73.80073800738008
405.801,0.821,821.0,73.0816077953715
406.587,0.786,786.0,76.33587786259542
407.353,0.766,766.0,78.3289817232376
408.104,0.751,751.0,79.89347536617844
408.862,0.758,758.0,79.15567282321899
409.651,0.789,789.0,76.04562737642584
410.453,0.802,802.0,74.81296758104737
411.254,0.801,801.0,74.9063670411985
412.069,0.815,815.0,73.61963190184049
412.897,0.828,828.0,72.46376811594203
413.705,0.808,808.0,74.25742574257426
414.483,0.778,778.0,77.12082262210797
415.248,0.765,765.0,78.43137254901961
416.011,0.763,763.0,78.63695937090432
416.783,0.772,772.0,77.720207253886
417.6,0.817,817.0,73.43941248470013
418.454,0.854,854.0,70.2576112412178
419.303,0.849,849.0,70.67137809187278
420.079,0.776,776.0,77.31958762886597
420.818,0.739,739.0,81.19079837618403
421.527,0.709,709.0,84.6262341325811
422.19,0.663,663.0,90.49773755656108
422.843,0.653,653.0,91.88361408882082
423.532,0.689,689.0,87.08272859216257
424.279,0.747,747.0,80.32128514056225
425.021,0.742,742.0,80.86253369272237
425.8,0.779,779.0,77.02182284980745
426.594,0.794,794.0,75.56675062972292
427.409,0.815,815.0,73.61963190184049
428.229,0.82,820.0,73.17073170731707
429.016,0.787,787.0,76.23888182973316
429.816,0.8,800.0,75.0
430.631,0.815,815.0,73.61963190184049
431.459,0.828,828.0,72.46376811594203
432.272,0.813,813.0,73.80073800738008
433.072,0.8,800.0,75.0
433.826,0.754,754.0,79.57559681697613
